Postêpowania wszczête zabójstwo wg jednostek organizacyjnych Policji.;;;;
;;;;
Jednostka organizacyjna Policji;Rok;Postêpowania wszczête;;
jednostki organizacyjne Policji;2018;542;;
jednostki organizacyjne Policji;2017;557;;
jednostki organizacyjne Policji;2016;514;;
jednostki organizacyjne Policji;2015;503;;
jednostki organizacyjne Policji;2014;551;;
jednostki organizacyjne Policji;2013;603;;
jednostki organizacyjne Policji;2012;566;;
jednostki organizacyjne Policji;2011;684;;
jednostki organizacyjne Policji;2010;702;;
jednostki organizacyjne Policji;2009;729;;
jednostki organizacyjne Policji;2008;748;;
jednostki organizacyjne Policji;2007;789;;
jednostki organizacyjne Policji;2006;816;;
jednostki organizacyjne Policji;2005;720;;
jednostki organizacyjne Policji;2004;790;;
jednostki organizacyjne Policji;2003;928;;
jednostki organizacyjne Policji;2002;1 007;;
jednostki organizacyjne Policji;2001;1 169;;
jednostki organizacyjne Policji;2000;1 158;;
jednostki organizacyjne Policji;1999;1 121;;
KWP Wroc³aw;2018;49;;
KWP Wroc³aw;2017;65;;
KWP Wroc³aw;2016;46;;
KWP Wroc³aw;2015;67;;
KWP Wroc³aw;2014;50;;
KWP Wroc³aw;2013;65;;
KWP Wroc³aw;2012;58;;
KWP Wroc³aw;2011;59;;
KWP Wroc³aw;2010;70;;
KWP Wroc³aw;2009;82;;
KWP Wroc³aw;2008;86;;
KWP Wroc³aw;2007;84;;
KWP Wroc³aw;2006;79;;
KWP Wroc³aw;2005;59;;
KWP Wroc³aw;2004;68;;
KWP Wroc³aw;2003;97;;
KWP Wroc³aw;2002;87;;
KWP Wroc³aw;2001;116;;
KWP Wroc³aw;2000;100;;
KWP Wroc³aw;1999;114;;
KWP Bydgoszcz;2018;19;;
KWP Bydgoszcz;2017;25;;
KWP Bydgoszcz;2016;20;;
KWP Bydgoszcz;2015;22;;
KWP Bydgoszcz;2014;24;;
KWP Bydgoszcz;2013;23;;
KWP Bydgoszcz;2012;21;;
KWP Bydgoszcz;2011;27;;
KWP Bydgoszcz;2010;28;;
KWP Bydgoszcz;2009;28;;
KWP Bydgoszcz;2008;24;;
KWP Bydgoszcz;2007;32;;
KWP Bydgoszcz;2006;40;;
KWP Bydgoszcz;2005;33;;
KWP Bydgoszcz;2004;24;;
KWP Bydgoszcz;2003;28;;
KWP Bydgoszcz;2002;20;;
KWP Bydgoszcz;2001;34;;
KWP Bydgoszcz;2000;48;;
