Jednostka podzialu administracyjnego;Rok;Przestepstwa stwierdzone;Przestepstwa wykryte;% wykrycia;;;;;;;
Polska;2018;531;511;95,9;;;;;;;
Polska;2017;513;501;97,1;;;;;;;
Polska;2016;456;440;96,3;;;;;;;
Polska;2015;495;471;94,6;;;;;;;
Polska;2014;526;507;95,8;;;;;;;
Polska;2013;574;549;95,0;;;;;;;
Polska;2012;582;557;94,2;;;;;;;
Polska;2011;662;637;94,7;;;;;;;
Polska;2010;680;634;92,3;;;;;;;
Polska;2009;763;721;92,8;;;;;;;
Polska;2008;759;720;93,1;;;;;;;
Polska;2007;848;815;93,4;;;;;;;
Polska;2006;816;762;92,4;;;;;;;
Polska;2005;837;771;90,6;;;;;;;
Polska;2004;980;913;90,8;;;;;;;
Polska;2003;1 039;934;87,5;;;;;;;
Polska;2002;1 188;1 081;89,4;;;;;;;
Polska;2001;1 325;1 171;87,5;;;;;;;
Polska;2000;1 269;1 123;87,0;;;;;;;
Polska;1999;1 048;903;85,7;;;;;;;
woj. dolnośląskie;2018;59;55;93,2;;;;;;;
woj. dolnośląskie;2017;52;51;98,1;;;;;;;
woj. dolnośląskie;2016;53;53;100,0;;;;;;;
woj. dolnośląskie;2015;51;46;90,2;;;;;;;
woj. dolnośląskie;2014;41;40;97,6;;;;;;;
woj. dolnośląskie;2013;70;69;98,6;;;;;;;
woj. dolnośląskie;2012;62;58;93,5;;;;;;;
woj. dolnośląskie;2011;61;58;95,1;;;;;;;
woj. dolnośląskie;2010;63;61;95,3;;;;;;;
woj. dolnośląskie;2009;82;83;100,0;;;;;;;
woj. dolnośląskie;2008;88;86;96,6;;;;;;;
woj. dolnośląskie;2007;94;94;94,9;;;;;;;
woj. dolnośląskie;2006;84;84;97,7;;;;;;;
woj. dolnośląskie;2005;70;64;91,4;;;;;;;
woj. dolnośląskie;2004;107;105;95,5;;;;;;;
woj. dolnośląskie;2003;106;101;95,3;;;;;;;
woj. dolnośląskie;2002;119;109;90,8;;;;;;;
woj. dolnośląskie;2001;125;114;91,2;;;;;;;
woj. dolnośląskie;2000;134;123;89,8;;;;;;;
woj. dolnośląskie;1999;101;87;86,1;;;;;;;
woj. kujawsko-pomorskie;2018;22;22;100,0;;;;;;;
